ear,duration,label
0.181,0.228,dot
0.181,0.277,dot
0.17,0.246,dot
0.216,0.155,dot
0.218,0.275,dot
0.189,0.329,dot
0.19,0.177,dot
0.173,0.341,dot
0.211,0.199,dot
0.22,0.246,dot
0.198,0.285,dot
0.187,0.194,dot
0.21,0.318,dot
0.219,0.34,dot
0.206,0.253,dot
0.21,0.217,dot
0.178,0.264,dot
0.195,0.275,dot
0.179,0.333,dot
0.203,0.26,dot
0.171,0.336,dot
0.225,0.28,dot
0.189,0.303,dot
0.189,0.224,dot
0.188,0.234,dot
0.229,0.192,dot
0.171,0.259,dot
0.171,0.223,dot
0.228,0.212,dot
0.216,0.166,dot
0.201,0.292,dot
0.207,0.271,dot
0.217,0.264,dot
0.185,0.224,dot
0.188,0.336,dot
0.203,0.203,dot
0.18,0.291,dot
0.191,0.333,dot
0.209,0.34,dot
0.183,0.201,dot
0.229,0.231,dot
0.18,0.299,dot
0.228,0.269,dot
0.184,0.313,dot
0.216,0.236,dot
0.221,0.18,dot
0.175,0.279,dot
0.229,0.156,dot
0.228,0.294,dot
0.187,0.16,dot
0.21,0.312,dot
0.171,0.193,dot
0.185,0.232,dot
0.175,0.203,dot
0.221,0.276,dot
0.211,0.257,dot
0.193,0.254,dot
0.191,0.248,dot
0.217,0.19,dot
0.183,0.153,dot
0.185,0.164,dot
0.189,0.324,dot
0.191,0.273,dot
0.229,0.175,dot
0.219,0.244,dot
0.19,0.323,dot
0.189,0.253,dot
0.204,0.319,dot
0.194,0.201,dot
0.192,0.319,dot
0.189,0.347,dot
0.205,0.295,dot
0.206,0.25,dot
0.178,0.197,dot
0.189,0.302,dot
0.186,0.288,dot
0.176,0.258,dot
0.207,0.268,dot
0.217,0.152,dot
0.182,0.294,dot
0.175,0.345,dot
0.207,0.29,dot
0.179,0.268,dot
0.171,0.268,dot
0.193,0.218,dot
0.223,0.32,dot
0.207,0.297,dot
0.178,0.26,dot
0.171,0.312,dot
0.18,0.212,dot
0.219,0.151,dot
0.224,0.289,dot
0.198,0.164,dot
0.211,0.328,dot
0.183,0.234,dot
0.211,0.157,dot
0.216,0.263,dot
0.197,0.349,dot
0.221,0.294,dot
0.207,0.266,dot
0.218,0.24,dot
0.194,0.249,dot
0.199,0.292,dot
0.209,0.324,dot
0.201,0.208,dot
0.22,0.213,dot
0.172,0.157,dot
0.191,0.347,dot
0.21,0.275,dot
0.23,0.317,dot
0.205,0.332,dot
0.217,0.31,dot
0.229,0.229,dot
0.204,0.249,dot
0.202,0.261,dot
0.196,0.247,dot
0.178,0.158,dot
0.172,0.318,dot
0.203,0.151,dot
0.2,0.348,dot
0.221,0.206,dot
0.204,0.331,dot
0.19,0.194,dot
0.229,0.298,dot
0.191,0.323,dot
0.193,0.286,dot
0.213,0.289,dot
0.187,0.175,dot
0.179,0.27,dot
0.198,0.243,dot
0.176,0.159,dot
0.171,0.209,dot
0.198,0.18,dot
0.229,0.329,dot
0.209,0.184,dot
0.191,0.262,dot
0.222,0.169,dot
0.206,0.175,dot
0.227,0.305,dot
0.22,0.312,dot
0.174,0.177,dot
0.215,0.157,dot
0.211,0.203,dot
0.21,0.265,dot
0.201,0.175,dot
0.217,0.167,dot
0.205,0.294,dot
0.196,0.171,dot
0.182,0.23,dot
0.174,0.19,dot
0.191,0.825,dash
0.217,0.695,dash
0.216,0.954,dash
0.172,0.531,dash
0.168,0.885,dash
0.179,0.934,dash
0.153,0.982,dash
0.199,0.965,dash
0.184,0.708,dash
0.206,0.865,dash
0.182,0.612,dash
0.209,0.92,dash
0.2,0.516,dash
0.172,0.729,dash
0.196,0.92,dash
0.219,0.663,dash
0.207,0.888,dash
0.165,0.834,dash
0.211,0.871,dash
0.219,0.653,dash
0.191,0.57,dash
0.212,0.77,dash
0.152,0.628,dash
0.186,0.516,dash
0.175,0.897,dash
0.2,0.79,dash
0.167,0.961,dash
0.205,0.683,dash
0.211,0.57,dash
